trip_id,arrival_time,departure_time,stop_id,stop_sequence
TRIP_WD_01,04:50:00,04:50:00,STOP1,1
TRIP_WD_01,04:56:00,04:56:00,STOP2,2
TRIP_WD_01,05:08:00,05:08:00,STOP3,3
TRIP_WD_01,05:09:00,05:09:00,STOP4,4
TRIP_WD_01,05:10:00,05:10:00,STOP5,5
TRIP_WD_01,05:13:00,05:13:00,STOP6,6
TRIP_WD_01,05:16:00,05:16:00,STOP7,7
TRIP_WD_01,05:25:00,05:25:00,STOP8,8
TRIP_WD_02,05:10:00,05:10:00,STOP1,1
TRIP_WD_02,05:16:00,05:16:00,STOP2,2
TRIP_WD_02,05:28:00,05:28:00,STOP3,3
TRIP_WD_02,05:29:00,05:29:00,STOP4,4
TRIP_WD_02,05:30:00,05:30:00,STOP5,5
TRIP_WD_02,05:33:00,05:33:00,STOP6,6
TRIP_WD_02,05:36:00,05:36:00,STOP7,7
TRIP_WD_02,05:45:00,05:45:00,STOP8,8
TRIP_WD_03,05:30:00,05:30:00,STOP1,1
TRIP_WD_03,05:36:00,05:36:00,STOP2,2
TRIP_WD_03,05:48:00,05:48:00,STOP3,3
TRIP_WD_03,05:49:00,05:49:00,STOP4,4
TRIP_WD_03,05:50:00,05:50:00,STOP5,5
TRIP_WD_03,05:53:00,05:53:00,STOP6,6
TRIP_WD_03,05:56:00,05:56:00,STOP7,7
TRIP_WD_03,06:05:00,06:05:00,STOP8,8
TRIP_WD_04,05:50:00,05:50:00,STOP1,1
TRIP_WD_04,05:56:00,05:56:00,STOP2,2
TRIP_WD_04,06:08:00,06:08:00,STOP3,3
TRIP_WD_04,06:09:00,06:09:00,STOP4,4
TRIP_WD_04,06:10:00,06:10:00,STOP5,5
TRIP_WD_04,06:13:00,06:13:00,STOP6,6
TRIP_WD_04,06:16:00,06:16:00,STOP7,7
TRIP_WD_04,06:25:00,06:25:00,STOP8,8
TRIP_WD_05,06:10:00,06:10:00,STOP1,1
TRIP_WD_05,06:16:00,06:16:00,STOP2,2
TRIP_WD_05,06:28:00,06:28:00,STOP3,3
TRIP_WD_05,06:29:00,06:29:00,STOP4,4
TRIP_WD_05,06:30:00,06:30:00,STOP5,5
TRIP_WD_05,06:33:00,06:33:00,STOP6,6
TRIP_WD_05,06:36:00,06:36:00,STOP7,7
TRIP_WD_05,06:45:00,06:45:00,STOP8,8
TRIP_WD_06,06:30:00,06:30:00,STOP1,1
TRIP_WD_06,06:36:00,06:36:00,STOP2,2
TRIP_WD_06,06:48:00,06:48:00,STOP3,3
TRIP_WD_06,06:49:00,06:49:00,STOP4,4
TRIP_WD_06,06:50:00,06:50:00,STOP5,5
TRIP_WD_06,06:53:00,06:53:00,STOP6,6
TRIP_WD_06,06:56:00,06:56:00,STOP7,7
TRIP_WD_06,07:05:00,07:05:00,STOP8,8
TRIP_WD_07,06:50:00,06:50:00,STOP1,1
TRIP_WD_07,06:56:00,06:56:00,STOP2,2
TRIP_WD_07,07:08:00,07:08:00,STOP3,3
TRIP_WD_07,07:09:00,07:09:00,STOP4,4
