route_id,service_id,trip_id,trip_headsign
R1,WEEKDAY,TRIP_WD_01,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_02,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_03,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_04,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_05,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_06,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_07,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_08,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_09,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_10,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_11,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_12,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_13,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_14,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_15,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_16,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_17,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_18,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_19,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_20,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_21,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_22,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_23,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_24,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_25,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_26,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_27,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_28,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_29,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_30,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_31,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_32,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_33,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_34,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_35,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_36,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_37,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_38,KOPER IZOLA PIRAN
R1,WEEKDAY,TRIP_WD_39,KOPER IZOLA PIRAN
